method,group_a,group_b,n_pairs,mean_similarity,median_similarity,same_group
kmer3_svd_cosine,alpha_GJA,alpha_GJA,1980,0.3590,0.2472,true
kmer3_svd_cosine,alpha_GJA,beta_GJB,1395,-0.1627,-0.1957,false
kmer3_svd_cosine,alpha_GJA,delta_GJD,405,-0.0956,-0.1004,false
kmer3_svd_cosine,alpha_GJA,epsilon_GJE,90,-0.0407,-0.0554,false
kmer3_svd_cosine,alpha_GJA,gamma_GJC,630,-0.0309,-0.0813,false
kmer3_svd_cosine,alpha_GJA,unassigned,1170,-0.0741,-0.0605,false
kmer3_svd_cosine,beta_GJB,alpha_GJA,1395,-0.1627,-0.1957,false
kmer3_svd_cosine,beta_GJB,beta_GJB,930,0.4340,0.2714,true
kmer3_svd_cosine,beta_GJB,delta_GJD,279,-0.0773,-0.0668,false
kmer3_svd_cosine,beta_GJB,epsilon_GJE,62,-0.0596,-0.0933,false
kmer3_svd_cosine,beta_GJB,gamma_GJC,434,-0.1733,-0.1645,false
kmer3_svd_cosine,beta_GJB,unassigned,806,-0.1196,-0.1042,false
kmer3_svd_cosine,delta_GJD,alpha_GJA,405,-0.0956,-0.1004,false
kmer3_svd_cosine,delta_GJD,beta_GJB,279,-0.0773,-0.0668,false
kmer3_svd_cosine,delta_GJD,delta_GJD,72,0.4161,0.1481,true
kmer3_svd_cosine,delta_GJD,epsilon_GJE,18,-0.0803,-0.0987,false
kmer3_svd_cosine,delta_GJD,gamma_GJC,126,0.0725,0.0407,false
kmer3_svd_cosine,delta_GJD,unassigned,234,0.0719,-0.0169,false
kmer3_svd_cosine,epsilon_GJE,alpha_GJA,90,-0.0407,-0.0554,false
kmer3_svd_cosine,epsilon_GJE,beta_GJB,62,-0.0596,-0.0933,false
kmer3_svd_cosine,epsilon_GJE,delta_GJD,18,-0.0803,-0.0987,false
kmer3_svd_cosine,epsilon_GJE,epsilon_GJE,2,0.9860,0.9860,true
kmer3_svd_cosine,epsilon_GJE,gamma_GJC,28,-0.0466,-0.0550,false
kmer3_svd_cosine,epsilon_GJE,unassigned,52,0.0367,-0.0177,false
kmer3_svd_cosine,gamma_GJC,alpha_GJA,630,-0.0309,-0.0813,false
kmer3_svd_cosine,gamma_GJC,beta_GJB,434,-0.1733,-0.1645,false
kmer3_svd_cosine,gamma_GJC,delta_GJD,126,0.0725,0.0407,false
kmer3_svd_cosine,gamma_GJC,epsilon_GJE,28,-0.0466,-0.0550,false
kmer3_svd_cosine,gamma_GJC,gamma_GJC,182,0.6535,0.5094,true
kmer3_svd_cosine,gamma_GJC,unassigned,364,-0.0187,-0.0486,false
kmer3_svd_cosine,unassigned,alpha_GJA,1170,-0.0741,-0.0605,false
kmer3_svd_cosine,unassigned,beta_GJB,806,-0.1196,-0.1042,false
kmer3_svd_cosine,unassigned,delta_GJD,234,0.0719,-0.0169,false
kmer3_svd_cosine,unassigned,epsilon_GJE,52,0.0367,-0.0177,false
kmer3_svd_cosine,unassigned,gamma_GJC,364,-0.0187,-0.0486,false
kmer3_svd_cosine,unassigned,unassigned,650,0.1015,0.0330,true
