family,organism,panel_role,source_file,reviewed_only
connexin,Gallus gallus,reference_connexin,species_config.csv,True
connexin,Gorilla gorilla gorilla,reference_connexin,species_config.csv,True
connexin,Homo sapiens,reference_connexin,species_config.csv,True
connexin,Hylobates moloch,reference_connexin,species_config.csv,True
connexin,Leucoraja erinaceus,reference_connexin,species_config.csv,True
connexin,Macaca fascicularis,reference_connexin,species_config.csv,True
connexin,Macaca mulatta,reference_connexin,species_config.csv,True
connexin,Mesocricetus auratus,reference_connexin,species_config.csv,True
connexin,Mus musculus,reference_connexin,species_config.csv,True
connexin,Oryctolagus cuniculus,reference_connexin,species_config.csv,True
connexin,Ovis aries,reference_connexin,species_config.csv,True
connexin,Pongo pygmaeus,reference_connexin,species_config.csv,True
connexin,Rattus norvegicus,reference_connexin,species_config.csv,True
connexin,Sus scrofa,reference_connexin,species_config.csv,True
connexin,Ursus americanus,reference_connexin,species_config.csv,True
connexin,Xenopus laevis,reference_connexin,species_config.csv,True
connexin,Xenopus tropicalis,reference_connexin,species_config.csv,True
innexin,Hormiphora californensis,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Peripatoides novaezealandiae,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Peripatus solorzanoi,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Philodina roseola,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Pleurobrachia bachei,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Scolanthus callimorphus,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Streblospio benedicti,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Stylissa carteri,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Thulinius sp. DVL-2010,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Triops cancriformis,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Tubiluchus corallicola,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Xestospongia testudinaria,discovery_innexin,project/metadata/not_annotated_innexin.txt,
innexin,Abra alba,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Abra segmentum,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acanthascus dawsoni,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acanthocardia echinata,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acanthochitona discrepans,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acartia tonsa,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acropora austera,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acropora cervicornis,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acropora cf. manni,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acropora glauca,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Acropora hyacinthus,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Adineta ricciae,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Adineta steineri,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Aegaeobuthus cyprius,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Aelurillus cypriotus,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Agelas clathrodes,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Agelas conifera,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Agelas oroides,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Agelas tubulata,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Agelena orientalis,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Amaurobius ferox,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Bathyporeia elegans,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Beroe forskalii,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Beroe ovata,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Brachionus calyciflorus,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Brachionus koreanus,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Brachionus manjavacas,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Dryodora glandiformis,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Eriophyidae sp.,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Hypsibius exemplaris,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Lanice conchilega,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Liocarcinus depurator,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Macoma balthica,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Mertensia ovum,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Nephtys caeca,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Nephtys hombergii,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Nephtys longosetosa,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Ophelia borealis,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Paramacrobiotus metropolitanus,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Processa modica,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Thia scutellata,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Trichoplax sp. H2,discovery_innexin_clade,project/metadata/species_discovery_queue.txt,
innexin,Aedes aegypti,reference_innexin,species_config.csv,True
innexin,Anopheles gambiae,reference_innexin,species_config.csv,True
innexin,Caenorhabditis briggsae,reference_innexin,species_config.csv,True
innexin,Caenorhabditis elegans,reference_innexin,species_config.csv,True
innexin,Drosophila melanogaster,reference_innexin,species_config.csv,True
innexin,Schistocerca americana,reference_innexin,species_config.csv,True
innexin,Adineta vaga,discovery_innexin_curator,project/results/gene_curator_probe/innexin_search_summary.csv,
innexin,Rotaria macrura,discovery_innexin_curator,project/results/gene_curator_probe/innexin_search_summary.csv,
